date,country,total_cases,new_cases,total_deaths,new_deaths,total_tests,population,aged_65_older,aged_70_older
26mar2020,2,15025,2375,703,191,,67886004,18.517,12.527
27mar2020,2,17717,2692,884,181,,67886004,18.517,12.527
28mar2020,2,20804,3087,1172,288,,67886004,18.517,12.527
29mar2020,2,24001,3197,1464,292,,67886004,18.517,12.527
30mar2020,2,26823,2822,1676,212,,67886004,18.517,12.527
31mar2020,2,29681,2858,2050,374,155174,67886004,18.517,12.527
01apr2020,2,33954,4273,2453,403,167098,67886004,18.517,12.527
02apr2020,2,38468,4514,3125,672,182047,67886004,18.517,12.527
03apr2020,2,43381,4913,3782,657,222937,67886004,18.517,12.527
04apr2020,2,48249,4868,4518,736,238836,67886004,18.517,12.527
05apr2020,2,53160,4911,5274,756,251569,67886004,18.517,12.527
06apr2020,2,57180,4020,5873,599,265885,67886004,18.517,12.527
07apr2020,2,60772,3592,6440,567,280304,67886004,18.517,12.527
08apr2020,2,66054,5282,7545,1105,296747,67886004,18.517,12.527
09apr2020,2,71504,5450,8575,1030,315141,67886004,18.517,12.527
10apr2020,2,76635,5131,9691,1116,332925,67886004,18.517,12.527
11apr2020,2,81493,4858,10813,1122,350575,67886004,18.517,12.527
12apr2020,2,85806,4313,11656,843,365081,67886004,18.517,12.527
13apr2020,2,89385,3579,12313,657,379649,67886004,18.517,12.527
14apr2020,2,92874,3489,13037,724,395912,67886004,18.517,12.527
15apr2020,2,97052,4178,14113,1076,414469,67886004,18.517,12.527
16apr2020,2,101378,4326,14993,880,435389,67886004,18.517,12.527
17apr2020,2,106443,5065,16029,1036,456527,67886004,18.517,12.527
18apr2020,2,111735,5292,16942,913,477776,67886004,18.517,12.527
19apr2020,2,116691,4956,18047,1105,497092,67886004,18.517,12.527
20apr2020,2,121412,4721,18479,432,532229,67886004,18.517,12.527
21apr2020,2,125265,3853,19049,570,554992,67886004,18.517,12.527
22apr2020,2,130119,4854,20273,1224,578066,67886004,18.517,12.527
23apr2020,2,134879,4760,21120,847,606093,67886004,18.517,12.527
24apr2020,2,140366,5487,21802,682,634319,67886004,18.517,12.527
25apr2020,2,145524,5158,22812,1010,663377,67886004,18.517,12.527
